Id,Price
725,160795.72207148172
15856,230402.087894085
5480,221874.13912946716
15664,338552.2154407248
14275,147629.3931978543
7633,206894.70529290353
13329,171139.11264241743
5502,217693.8833764153
4220,301147.14732113626
11538,213216.4474420058
15975,262926.96022614697
3310,216542.83560793404
9286,153156.94218106443
11260,184041.96623699288
5214,107042.24932835971
11307,180153.74490625766
13543,364758.72711084865
615,180861.40306224726
3495,228760.80316945954
2321,234165.04436601468
12046,184817.3548969577
16688,148307.19722408883
12694,232594.16815343162
783,151856.25414296275
8968,167529.83910434457
13454,177854.57036499656
12190,261123.8571580292
11160,114466.43329688035
10291,196750.154988899
891,277806.3028415573
2982,180327.78095757577
3818,251921.27163858956
2449,190092.70594059702
8317,168047.19931383035
4922,182246.56076178877
1257,238520.46898929708
9348,203442.93086491415
4176,194941.6902428582
10704,161207.74690069992
6624,114585.39742082848
5428,159794.44356606083
12749,179550.60787798828
8994,200632.40239552807
11513,145063.15852096584
3047,188549.74102288543
9519,214684.30768421624
12309,247770.40841155447
14081,287569.5120871071
8334,248951.97019083676
6343,181485.6308664831
14788,130027.68526776959
15748,399896.1649029806
153,241465.7410844009
14149,186752.34332753264
269,189056.83486469564
5452,137793.29529735816
721,173419.0313566991
5079,348795.213308584
2831,122443.79889213182
10614,111451.48897144957
10131,263124.33289763937
9996,311629.714862733
3061,186302.9735726751
11733,335558.58776972914
3726,265295.71367798874
10929,209661.67279143023
9011,327690.62733388593
16182,317495.1868243944
4976,180030.24148574582
9897,244355.4407158647
1872,149949.39389768336
9205,351494.0177196297
5403,388930.15389524604
14074,207009.82374538365
6268,155479.12858144307
14232,170276.5100580491
8532,237820.30776541
7034,269741.2076319644
6553,404519.60883601673
3133,178203.084037096
8596,206749.90175296238
12389,245869.22517476196
14462,178915.21737981387
8860,360293.33153008437
8377,301779.9367042926
6367,298535.41481774946
6917,249387.43133422176
4216,197976.20814798443
5806,173343.8552058749
5438,189692.8535094434
6632,193806.39289982832
2650,162669.7673363823
5396,207007.56757096463
4044,148778.4135664159
1345,243837.66529782093
856,183008.61982446312
12791,263221.8074628147
12499,216162.78991602358
12249,127999.87054368888
14641,138442.984389155
1919,157036.66235425725
7848,199964.16864953312
10749,183146.32134315718
15554,189306.5998186244
15834,174620.8273213025
1355,157652.65994344561
15451,181452.72429972579
12401,211954.68060946814
